,Date,Cryptocurrency,adj_close,close,high,low,open,volume
0,2017-04-26,ADA-USD,,,,,,
1,2017-04-27,ADA-USD,,,,,,
2,2017-04-28,ADA-USD,,,,,,
3,2017-04-29,ADA-USD,,,,,,
4,2017-04-30,ADA-USD,,,,,,
5,2017-05-01,ADA-USD,,,,,,
6,2017-05-02,ADA-USD,,,,,,
7,2017-05-03,ADA-USD,,,,,,
8,2017-05-04,ADA-USD,,,,,,
9,2017-05-05,ADA-USD,,,,,,
10,2017-05-06,ADA-USD,,,,,,
11,2017-05-07,ADA-USD,,,,,,
12,2017-05-08,ADA-USD,,,,,,
13,2017-05-09,ADA-USD,,,,,,
14,2017-05-10,ADA-USD,,,,,,
15,2017-05-11,ADA-USD,,,,,,
16,2017-05-12,ADA-USD,,,,,,
17,2017-05-13,ADA-USD,,,,,,
18,2017-05-14,ADA-USD,,,,,,
19,2017-05-15,ADA-USD,,,,,,
20,2017-05-16,ADA-USD,,,,,,
21,2017-05-17,ADA-USD,,,,,,
22,2017-05-18,ADA-USD,,,,,,
23,2017-05-19,ADA-USD,,,,,,
24,2017-05-20,ADA-USD,,,,,,
25,2017-05-21,ADA-USD,,,,,,
26,2017-05-22,ADA-USD,,,,,,
27,2017-05-23,ADA-USD,,,,,,
28,2017-05-24,ADA-USD,,,,,,
29,2017-05-25,ADA-USD,,,,,,
30,2017-05-26,ADA-USD,,,,,,
31,2017-05-27,ADA-USD,,,,,,
32,2017-05-28,ADA-USD,,,,,,
33,2017-05-29,ADA-USD,,,,,,
34,2017-05-30,ADA-USD,,,,,,
35,2017-05-31,ADA-USD,,,,,,
36,2017-06-01,ADA-USD,,,,,,
37,2017-06-02,ADA-USD,,,,,,
38,2017-06-03,ADA-USD,,,,,,
39,2017-06-04,ADA-USD,,,,,,
40,2017-06-05,ADA-USD,,,,,,
41,2017-06-06,ADA-USD,,,,,,
42,2017-06-07,ADA-USD,,,,,,
43,2017-06-08,ADA-USD,,,,,,
44,2017-06-09,ADA-USD,,,,,,
45,2017-06-10,ADA-USD,,,,,,
46,2017-06-11,ADA-USD,,,,,,
47,2017-06-12,ADA-USD,,,,,,
48,2017-06-13,ADA-USD,,,,,,
49,2017-06-14,ADA-USD,,,,,,
50,2017-06-15,ADA-USD,,,,,,
51,2017-06-16,ADA-USD,,,,,,
52,2017-06-17,ADA-USD,,,,,,
53,2017-06-18,ADA-USD,,,,,,
54,2017-06-19,ADA-USD,,,,,,
55,2017-06-20,ADA-USD,,,,,,
56,2017-06-21,ADA-USD,,,,,,
57,2017-06-22,ADA-USD,,,,,,
58,2017-06-23,ADA-USD,,,,,,
59,2017-06-24,ADA-USD,,,,,,
60,2017-06-25,ADA-USD,,,,,,
61,2017-06-26,ADA-USD,,,,,,
62,2017-06-27,ADA-USD,,,,,,
63,2017-06-28,ADA-USD,,,,,,
64,2017-06-29,ADA-USD,,,,,,
65,2017-06-30,ADA-USD,,,,,,
66,2017-07-01,ADA-USD,,,,,,
67,2017-07-02,ADA-USD,,,,,,
68,2017-07-03,ADA-USD,,,,,,
69,2017-07-04,ADA-USD,,,,,,
70,2017-07-05,ADA-USD,,,,,,
71,2017-07-06,ADA-USD,,,,,,
72,2017-07-07,ADA-USD,,,,,,
73,2017-07-08,ADA-USD,,,,,,
74,2017-07-09,ADA-USD,,,,,,
75,2017-07-10,ADA-USD,,,,,,
76,2017-07-11,ADA-USD,,,,,,
77,2017-07-12,ADA-USD,,,,,,
78,2017-07-13,ADA-USD,,,,,,
79,2017-07-14,ADA-USD,,,,,,
80,2017-07-15,ADA-USD,,,,,,
81,2017-07-16,ADA-USD,,,,,,
82,2017-07-17,ADA-USD,,,,,,
83,2017-07-18,ADA-USD,,,,,,
84,2017-07-19,ADA-USD,,,,,,
85,2017-07-20,ADA-USD,,,,,,
86,2017-07-21,ADA-USD,,,,,,
87,2017-07-22,ADA-USD,,,,,,
88,2017-07-23,ADA-USD,,,,,,
89,2017-07-24,ADA-USD,,,,,,
90,2017-07-25,ADA-USD,,,,,,
91,2017-07-26,ADA-USD,,,,,,
92,2017-07-27,ADA-USD,,,,,,
93,2017-07-28,ADA-USD,,,,,,
94,2017-07-29,ADA-USD,,,,,,
95,2017-07-30,ADA-USD,,,,,,
96,2017-07-31,ADA-USD,,,,,,
97,2017-08-01,ADA-USD,,,,,,
98,2017-08-02,ADA-USD,,,,,,
99,2017-08-03,ADA-USD,,,,,,
100,2017-08-04,ADA-USD,,,,,,
101,2017-08-05,ADA-USD,,,,,,
102,2017-08-06,ADA-USD,,,,,,
103,2017-08-07,ADA-USD,,,,,,
104,2017-08-08,ADA-USD,,,,,,
105,2017-08-09,ADA-USD,,,,,,
106,2017-08-10,ADA-USD,,,,,,
107,2017-08-11,ADA-USD,,,,,,
108,2017-08-12,ADA-USD,,,,,,
109,2017-08-13,ADA-USD,,,,,,
110,2017-08-14,ADA-USD,,,,,,
111,2017-08-15,ADA-USD,,,,,,
112,2017-08-16,ADA-USD,,,,,,
113,2017-08-17,ADA-USD,,,,,,
114,2017-08-18,ADA-USD,,,,,,
115,2017-08-19,ADA-USD,,,,,,
116,2017-08-20,ADA-USD,,,,,,
117,2017-08-21,ADA-USD,,,,,,
118,2017-08-22,ADA-USD,,,,,,
119,2017-08-23,ADA-USD,,,,,,
120,2017-08-24,ADA-USD,,,,,,
121,2017-08-25,ADA-USD,,,,,,
122,2017-08-26,ADA-USD,,,,,,
123,2017-08-27,ADA-USD,,,,,,
124,2017-08-28,ADA-USD,,,,,,
