,Date,adj_close,close,low,high,open,volume
0,2017-04-26,,,,,,
1,2017-04-27,,,,,,
2,2017-04-28,,,,,,
3,2017-04-29,,,,,,
4,2017-04-30,,,,,,
5,2017-05-01,,,,,,
6,2017-05-02,,,,,,
7,2017-05-03,,,,,,
8,2017-05-04,,,,,,
9,2017-05-05,,,,,,
10,2017-05-06,,,,,,
11,2017-05-07,,,,,,
12,2017-05-08,,,,,,
13,2017-05-09,,,,,,
14,2017-05-10,,,,,,
15,2017-05-11,,,,,,
16,2017-05-12,,,,,,
17,2017-05-13,,,,,,
18,2017-05-14,,,,,,
19,2017-05-15,,,,,,
20,2017-05-16,,,,,,
21,2017-05-17,,,,,,
22,2017-05-18,,,,,,
23,2017-05-19,,,,,,
24,2017-05-20,,,,,,
25,2017-05-21,,,,,,
26,2017-05-22,,,,,,
27,2017-05-23,,,,,,
28,2017-05-24,,,,,,
29,2017-05-25,,,,,,
30,2017-05-26,,,,,,
31,2017-05-27,,,,,,
32,2017-05-28,,,,,,
33,2017-05-29,,,,,,
34,2017-05-30,,,,,,
35,2017-05-31,,,,,,
36,2017-06-01,,,,,,
37,2017-06-02,,,,,,
38,2017-06-03,,,,,,
39,2017-06-04,,,,,,
40,2017-06-05,,,,,,
41,2017-06-06,,,,,,
42,2017-06-07,,,,,,
43,2017-06-08,,,,,,
44,2017-06-09,,,,,,
45,2017-06-10,,,,,,
46,2017-06-11,,,,,,
47,2017-06-12,,,,,,
48,2017-06-13,,,,,,
49,2017-06-14,,,,,,
50,2017-06-15,,,,,,
51,2017-06-16,,,,,,
52,2017-06-17,,,,,,
53,2017-06-18,,,,,,
54,2017-06-19,,,,,,
55,2017-06-20,,,,,,
56,2017-06-21,,,,,,
57,2017-06-22,,,,,,
58,2017-06-23,,,,,,
59,2017-06-24,,,,,,
60,2017-06-25,,,,,,
61,2017-06-26,,,,,,
62,2017-06-27,,,,,,
63,2017-06-28,,,,,,
64,2017-06-29,,,,,,
65,2017-06-30,,,,,,
66,2017-07-01,,,,,,
67,2017-07-02,,,,,,
68,2017-07-03,,,,,,
69,2017-07-04,,,,,,
70,2017-07-05,,,,,,
71,2017-07-06,,,,,,
72,2017-07-07,,,,,,
73,2017-07-08,,,,,,
74,2017-07-09,,,,,,
75,2017-07-10,,,,,,
76,2017-07-11,,,,,,
77,2017-07-12,,,,,,
78,2017-07-13,,,,,,
79,2017-07-14,,,,,,
80,2017-07-15,,,,,,
81,2017-07-16,,,,,,
82,2017-07-17,,,,,,
83,2017-07-18,,,,,,
84,2017-07-19,,,,,,
85,2017-07-20,,,,,,
86,2017-07-21,,,,,,
87,2017-07-22,,,,,,
88,2017-07-23,,,,,,
89,2017-07-24,,,,,,
90,2017-07-25,,,,,,
91,2017-07-26,,,,,,
92,2017-07-27,,,,,,
93,2017-07-28,,,,,,
94,2017-07-29,,,,,,
95,2017-07-30,,,,,,
96,2017-07-31,,,,,,
97,2017-08-01,,,,,,
98,2017-08-02,,,,,,
99,2017-08-03,,,,,,
100,2017-08-04,,,,,,
101,2017-08-05,,,,,,
102,2017-08-06,,,,,,
103,2017-08-07,,,,,,
104,2017-08-08,,,,,,
105,2017-08-09,,,,,,
106,2017-08-10,,,,,,
107,2017-08-11,,,,,,
108,2017-08-12,,,,,,
109,2017-08-13,,,,,,
110,2017-08-14,,,,,,
111,2017-08-15,,,,,,
112,2017-08-16,,,,,,
113,2017-08-17,,,,,,
114,2017-08-18,,,,,,
115,2017-08-19,,,,,,
116,2017-08-20,,,,,,
117,2017-08-21,,,,,,
118,2017-08-22,,,,,,
119,2017-08-23,,,,,,
120,2017-08-24,,,,,,
121,2017-08-25,,,,,,
122,2017-08-26,,,,,,
123,2017-08-27,,,,,,
124,2017-08-28,,,,,,
125,2017-08-29,,,,,,
126,2017-08-30,,,,,,
127,2017-08-31,,,,,,
128,2017-09-01,,,,,,
129,2017-09-02,,,,,,
130,2017-09-03,,,,,,
131,2017-09-04,,,,,,
132,2017-09-05,,,,,,
133,2017-09-06,,,,,,
134,2017-09-07,,,,,,
135,2017-09-08,,,,,,
136,2017-09-09,,,,,,
137,2017-09-10,,,,,,
138,2017-09-11,,,,,,
139,2017-09-12,,,,,,
140,2017-09-13,,,,,,
141,2017-09-14,,,,,,
142,2017-09-15,,,,,,
143,2017-09-16,,,,,,
144,2017-09-17,,,,,,
145,2017-09-18,,,,,,
146,2017-09-19,,,,,,
147,2017-09-20,,,,,,
148,2017-09-21,,,,,,
149,2017-09-22,,,,,,
150,2017-09-23,,,,,,
151,2017-09-24,,,,,,
152,2017-09-25,,,,,,
153,2017-09-26,,,,,,
154,2017-09-27,,,,,,
155,2017-09-28,,,,,,
156,2017-09-29,,,,,,
157,2017-09-30,,,,,,
158,2017-10-01,,,,,,
159,2017-10-02,,,,,,
160,2017-10-03,,,,,,
161,2017-10-04,,,,,,
162,2017-10-05,,,,,,
163,2017-10-06,,,,,,
164,2017-10-07,,,,,,
165,2017-10-08,,,,,,
166,2017-10-09,,,,,,
167,2017-10-10,,,,,,
168,2017-10-11,,,,,,
169,2017-10-12,,,,,,
170,2017-10-13,,,,,,
171,2017-10-14,,,,,,
172,2017-10-15,,,,,,
173,2017-10-16,,,,,,
174,2017-10-17,,,,,,
175,2017-10-18,,,,,,
176,2017-10-19,,,,,,
177,2017-10-20,,,,,,
178,2017-10-21,,,,,,
179,2017-10-22,,,,,,
180,2017-10-23,,,,,,
181,2017-10-24,,,,,,
182,2017-10-25,,,,,,
183,2017-10-26,,,,,,
184,2017-10-27,,,,,,
185,2017-10-28,,,,,,
186,2017-10-29,,,,,,
187,2017-10-30,,,,,,
188,2017-10-31,,,,,,
189,2017-11-01,,,,,,
190,2017-11-02,,,,,,
191,2017-11-03,,,,,,
192,2017-11-04,,,,,,
193,2017-11-05,,,,,,
194,2017-11-06,,,,,,
195,2017-11-07,,,,,,
196,2017-11-08,,,,,,
197,2017-11-09,,,,,,
198,2017-11-10,,,,,,
199,2017-11-11,,,,,,
200,2017-11-12,,,,,,
201,2017-11-13,,,,,,
202,2017-11-14,,,,,,
203,2017-11-15,,,,,,
204,2017-11-16,,,,,,
205,2017-11-17,,,,,,
206,2017-11-18,,,,,,
207,2017-11-19,,,,,,
208,2017-11-20,,,,,,
209,2017-11-21,,,,,,
210,2017-11-22,,,,,,
211,2017-11-23,,,,,,
212,2017-11-24,,,,,,
213,2017-11-25,,,,,,
214,2017-11-26,,,,,,
215,2017-11-27,,,,,,
216,2017-11-28,,,,,,
217,2017-11-29,,,,,,
218,2017-11-30,,,,,,
219,2017-12-01,,,,,,
220,2017-12-02,,,,,,
221,2017-12-03,,,,,,
222,2017-12-04,,,,,,
223,2017-12-05,,,,,,
224,2017-12-06,,,,,,
225,2017-12-07,,,,,,
226,2017-12-08,,,,,,
227,2017-12-09,,,,,,
228,2017-12-10,,,,,,
229,2017-12-11,,,,,,
230,2017-12-12,,,,,,
231,2017-12-13,,,,,,
232,2017-12-14,,,,,,
233,2017-12-15,,,,,,
234,2017-12-16,,,,,,
235,2017-12-17,,,,,,
236,2017-12-18,,,,,,
237,2017-12-19,,,,,,
238,2017-12-20,,,,,,
239,2017-12-21,,,,,,
240,2017-12-22,,,,,,
241,2017-12-23,,,,,,
242,2017-12-24,,,,,,
243,2017-12-25,,,,,,
244,2017-12-26,,,,,,
245,2017-12-27,,,,,,
246,2017-12-28,,,,,,
247,2017-12-29,,,,,,
248,2017-12-30,,,,,,
249,2017-12-31,,,,,,
250,2018-01-01,,,,,,
251,2018-01-02,,,,,,
252,2018-01-03,,,,,,
253,2018-01-04,,,,,,
254,2018-01-05,,,,,,
255,2018-01-06,,,,,,
256,2018-01-07,,,,,,
257,2018-01-08,,,,,,
258,2018-01-09,,,,,,
259,2018-01-10,,,,,,
260,2018-01-11,,,,,,
261,2018-01-12,,,,,,
262,2018-01-13,,,,,,
263,2018-01-14,,,,,,
264,2018-01-15,,,,,,
265,2018-01-16,,,,,,
266,2018-01-17,,,,,,
267,2018-01-18,,,,,,
268,2018-01-19,,,,,,
269,2018-01-20,,,,,,
270,2018-01-21,,,,,,
271,2018-01-22,,,,,,
272,2018-01-23,,,,,,
273,2018-01-24,,,,,,
274,2018-01-25,,,,,,
275,2018-01-26,,,,,,
276,2018-01-27,,,,,,
277,2018-01-28,,,,,,
278,2018-01-29,,,,,,
279,2018-01-30,,,,,,
280,2018-01-31,,,,,,
281,2018-02-01,,,,,,
282,2018-02-02,,,,,,
283,2018-02-03,,,,,,
284,2018-02-04,,,,,,
285,2018-02-05,,,,,,
286,2018-02-06,,,,,,
287,2018-02-07,,,,,,
288,2018-02-08,,,,,,
289,2018-02-09,,,,,,
290,2018-02-10,,,,,,
291,2018-02-11,,,,,,
292,2018-02-12,,,,,,
293,2018-02-13,,,,,,
